INFO:root:{'WORK_PATH': './work/cnn_silhouette', 'CUDA_VISIBLE_DEVICES': '0,1', 'dataset': 'CASIA-B', 'model': {'model_cfg': {'hidden_dim': 128, 'out_channels': 128}, 'lr': 0.0001, 'margin': 0.2, 'frame_num': 30, 'frame_num_min': 15, 'num_workers': 24, 'restore_iter': 0, 'hard_or_full_trip': 'full', 'batch_size': (8, 16), 'milestones': [100000], 'total_iter': 120000, 'model_name': 'gaitpart_casia-b'}, 'data': {'data_type': 'silhouettes', 'CASIA-B': {'resolution': '64', 'pid_num': 73, 'pid_shuffle': False, 'data_path': ['/home/pengyunjie/data/casia-b/silhouettes64/']}, 'OUMVLP': {'resolution': '64', 'pid_num': 5153, 'pid_shuffle': False, 'data_path': ['/data_1/pengyunjie/dataset/ou-mvlp/silhouettes/']}}}
INFO:root:Initialzing...
INFO:root:Initializing data source...
INFO:root:dataset:CASIA-B, data_type:silhouettes, data_path:['/home/pengyunjie/data/casia-b/silhouettes64/'], cache:False
INFO:root:pid_train:['001', '002', '003', '004', '006', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '025', '026', '027', '028', '029', '030', '031', '032', '033', '034', '035', '036', '037', '038', '039', '040', '041', '042', '043', '044', '045', '046', '047', '048', '049', '050', '051', '052', '053', '054', '055', '056', '057', '058', '059', '060', '061', '062', '063', '064', '065', '066', '067', '068', '069', '070', '071', '072', '073', '074']
pid_test:['075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '093', '094', '095', '096', '097', '098', '099', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124']
INFO:root:len(pid_train):73, len(pid_test):50
INFO:root:Data initialization complete.
INFO:root:Initializing model...
INFO:root:Model initialization complete.
INFO:root:Training START
INFO:root:iter 6300:, hard_loss_metric=0.55129033, full_loss_metric=0.19821744, full_loss_num=29477.52539062, mean_dist=1.58466899, lr=0.000100, hard or full='full'
INFO:root:iter 6400:, hard_loss_metric=0.54541171, full_loss_metric=0.19817868, full_loss_num=27482.58789062, mean_dist=1.62573302, lr=0.000100, hard or full='full'
INFO:root:iter 6500:, hard_loss_metric=0.55334014, full_loss_metric=0.19880429, full_loss_num=29015.21093750, mean_dist=1.60408998, lr=0.000100, hard or full='full'
INFO:root:iter 6600:, hard_loss_metric=0.54014802, full_loss_metric=0.19786449, full_loss_num=27663.00000000, mean_dist=1.63343322, lr=0.000100, hard or full='full'
INFO:root:iter 6700:, hard_loss_metric=0.54517883, full_loss_metric=0.19855675, full_loss_num=27823.10937500, mean_dist=1.63896191, lr=0.000100, hard or full='full'
INFO:root:iter 6800:, hard_loss_metric=0.54233629, full_loss_metric=0.19824955, full_loss_num=27437.63085938, mean_dist=1.64037395, lr=0.000100, hard or full='full'
INFO:root:iter 6900:, hard_loss_metric=0.54065537, full_loss_metric=0.19786455, full_loss_num=27712.17773438, mean_dist=1.63949692, lr=0.000100, hard or full='full'
INFO:root:iter 7000:, hard_loss_metric=0.53526533, full_loss_metric=0.19684562, full_loss_num=26527.30468750, mean_dist=1.65968049, lr=0.000100, hard or full='full'
INFO:root:iter 7100:, hard_loss_metric=0.54033846, full_loss_metric=0.19891889, full_loss_num=25931.01562500, mean_dist=1.68307149, lr=0.000100, hard or full='full'
INFO:root:iter 7200:, hard_loss_metric=0.54130518, full_loss_metric=0.19930011, full_loss_num=26655.91210938, mean_dist=1.68610978, lr=0.000100, hard or full='full'
INFO:root:iter 7300:, hard_loss_metric=0.54340667, full_loss_metric=0.19908494, full_loss_num=27190.62500000, mean_dist=1.66276407, lr=0.000100, hard or full='full'
INFO:root:iter 7400:, hard_loss_metric=0.54412585, full_loss_metric=0.19829860, full_loss_num=26910.84765625, mean_dist=1.66492426, lr=0.000100, hard or full='full'
INFO:root:iter 7500:, hard_loss_metric=0.54161763, full_loss_metric=0.19948746, full_loss_num=26857.66015625, mean_dist=1.68567455, lr=0.000100, hard or full='full'
INFO:root:iter 7600:, hard_loss_metric=0.52987719, full_loss_metric=0.19741444, full_loss_num=25143.80664062, mean_dist=1.70760238, lr=0.000100, hard or full='full'
INFO:root:iter 7700:, hard_loss_metric=0.53187335, full_loss_metric=0.19826178, full_loss_num=25001.47070312, mean_dist=1.70668590, lr=0.000100, hard or full='full'
INFO:root:iter 7800:, hard_loss_metric=0.53443861, full_loss_metric=0.19943829, full_loss_num=25038.62695312, mean_dist=1.72517943, lr=0.000100, hard or full='full'
INFO:root:iter 7900:, hard_loss_metric=0.53706121, full_loss_metric=0.20015867, full_loss_num=26200.21679688, mean_dist=1.70982468, lr=0.000100, hard or full='full'
INFO:root:iter 8000:, hard_loss_metric=0.53703749, full_loss_metric=0.19898286, full_loss_num=24980.24414062, mean_dist=1.73214293, lr=0.000100, hard or full='full'
INFO:root:iter 8100:, hard_loss_metric=0.52570301, full_loss_metric=0.19885907, full_loss_num=24003.11523438, mean_dist=1.74910128, lr=0.000100, hard or full='full'
INFO:root:iter 8200:, hard_loss_metric=0.53113317, full_loss_metric=0.19915158, full_loss_num=24133.97460938, mean_dist=1.75106192, lr=0.000100, hard or full='full'
INFO:root:iter 8300:, hard_loss_metric=0.53288049, full_loss_metric=0.19873178, full_loss_num=24905.36914062, mean_dist=1.73770404, lr=0.000100, hard or full='full'
INFO:root:iter 8400:, hard_loss_metric=0.53431594, full_loss_metric=0.19916576, full_loss_num=25158.85156250, mean_dist=1.73760593, lr=0.000100, hard or full='full'
INFO:root:iter 8500:, hard_loss_metric=0.52966237, full_loss_metric=0.19975457, full_loss_num=24421.65429688, mean_dist=1.75759840, lr=0.000100, hard or full='full'
INFO:root:iter 8600:, hard_loss_metric=0.53215188, full_loss_metric=0.19869997, full_loss_num=24253.42773438, mean_dist=1.75332749, lr=0.000100, hard or full='full'
